"from","to","strength","direction"
"Sex","Obesity",0.362,1
"Sex","Anxiety",0.654,1
"Sex","Depression",0.054,1
"Sex","Sleep",0.894,1
"Sex","Education",0.008,1
"Sex","Financial_level",0.168,1
"Sex","Smoking",0.004,1
"Sex","Catastrophizing",0.004,1
"Sex","Fear_avoidance",0.418,1
"Sex","Age",0,0
"Sex","Alcohol",1,1
"Sex","CCI",0,0
"Sex","PEG",0.564,1
"Obesity","Sex",0.362,0
"Obesity","Anxiety",0.062,0.0806451612903226
"Obesity","Depression",0.728,0.0384615384615385
"Obesity","Sleep",0.122,0
"Obesity","Education",0,0
"Obesity","Financial_level",0.004,0.5
"Obesity","Smoking",0,0
"Obesity","Catastrophizing",0.058,0.120689655172414
"Obesity","Fear_avoidance",0.106,0.0377358490566038
"Obesity","Age",0.014,0
"Obesity","Alcohol",0.33,0.0151515151515152
"Obesity","CCI",0,0
"Obesity","PEG",0.39,1
"Anxiety","Sex",0.654,0
"Anxiety","Obesity",0.062,0.919354838709677
"Anxiety","Depression",1,0.637
"Anxiety","Sleep",0.992,0.766129032258065
"Anxiety","Education",0.006,1
"Anxiety","Financial_level",0.786,0.912213740458015
"Anxiety","Smoking",0.084,0.928571428571428
"Anxiety","Catastrophizing",1,0.842
"Anxiety","Fear_avoidance",0.352,0.863636363636364
"Anxiety","Age",1,0
"Anxiety","Alcohol",0.056,0.607142857142857
"Anxiety","CCI",0,0
"Anxiety","PEG",0.096,1
"Depression","Sex",0.054,0
"Depression","Obesity",0.728,0.961538461538461
"Depression","Anxiety",1,0.363
"Depression","Sleep",0.984,0.639227642276423
"Depression","Education",0.022,1
"Depression","Financial_level",0.4,0.5875
"Depression","Smoking",0.13,0.830769230769231
"Depression","Catastrophizing",0.902,0.647450110864745
"Depression","Fear_avoidance",0.276,0.905797101449275
"Depression","Age",0.538,0
"Depression","Alcohol",0.538,0.702602230483271
"Depression","CCI",0.002,0.5
"Depression","PEG",0.898,1
"Sleep","Sex",0.894,0
"Sleep","Obesity",0.122,1
"Sleep","Anxiety",0.992,0.233870967741935
"Sleep","Depression",0.984,0.360772357723577
"Sleep","Education",0.986,0.997971602434077
"Sleep","Financial_level",0.948,0.611814345991561
"Sleep","Smoking",0.144,0.916666666666667
"Sleep","Catastrophizing",0.944,0.525423728813559
"Sleep","Fear_avoidance",0.346,0.708092485549133
"Sleep","Age",0.592,0
"Sleep","Alcohol",0.356,0.707865168539326
"Sleep","CCI",0.062,0.564516129032258
"Sleep","PEG",1,1
"Education","Sex",0.008,0
"Education","Obesity",0,0
"Education","Anxiety",0.006,0
"Education","Depression",0.022,0
"Education","Sleep",0.986,0.00202839756592292
"Education","Financial_level",0.802,0.0598503740648379
"Education","Smoking",0.874,0.949656750572082
"Education","Catastrophizing",0.116,0.0344827586206897
"Education","Fear_avoidance",0.554,0.0144404332129964
"Education","Age",0.01,0
"Education","Alcohol",0.056,0
"Education","CCI",0,0
"Education","PEG",0.004,1
"Financial_level","Sex",0.168,0
"Financial_level","Obesity",0.004,0.5
"Financial_level","Anxiety",0.786,0.0877862595419847
"Financial_level","Depression",0.4,0.4125
"Financial_level","Sleep",0.948,0.388185654008439
"Financial_level","Education",0.802,0.940149625935162
"Financial_level","Smoking",0.27,0.818518518518518
"Financial_level","Catastrophizing",0.034,0.88235294117647
"Financial_level","Fear_avoidance",0.848,0.574292452830189
"Financial_level","Age",0.318,0
"Financial_level","Alcohol",0.798,0.0300751879699248
"Financial_level","CCI",0,0
"Financial_level","PEG",0.934,1
"Smoking","Sex",0.004,0
"Smoking","Obesity",0,0
"Smoking","Anxiety",0.084,0.0714285714285714
"Smoking","Depression",0.13,0.169230769230769
"Smoking","Sleep",0.144,0.0833333333333333
"Smoking","Education",0.874,0.0503432494279176
"Smoking","Financial_level",0.27,0.181481481481481
