"Var1","Var2"
"CCI", "Anxiety"
"CCI", "Depression"
"Sleep disturbance", "CCI"
"CCI", "Financial_level"
"Obesity", "CCI"
"Obesity", "Depression"
"Obesity", "Anxiety"
"Obesity", "PEG"
"Anxiety", "Sleep disturbance"
"Anxiety", "Smoking"
"Depression", "Smoking"
"Depression", "Sleep disturbance"
"Depression", "PEG"
"Anxiety", "PEG"
"Sleep disturbance", "PEG"
"Education", "CCI"
"Education", "Obesity"
"Education", "Anxiety"
"Education", "Depression"
"Education", "Financial_level"
"Education", "Smoking"
"Education", "PEG"
"Financial_level", "Anxiety"
"Financial_level", "Depression"
"Financial_level", "Sleep disturbance"
"Financial_level", "PEG"
"Smoking", "Sleep disturbance"
"Smoking", "PEG"
"Catastrophizing", "Anxiety"
"Catastrophizing", "Depression"
"Catastrophizing", "PEG"
"Fear_avoidance", "Anxiety"
"Fear_avoidance", "Depression"
"Fear_avoidance", "PEG"
"Age", "CCI"
"Age", "Obesity"
"Age", "Sleep disturbance"
"Age", "PEG"
"Age", "Smoking"
"Age", "Anxiety"
"Age", "Depression"
"Age", "Catastrophizing"
"Age", "Fear_avoidance"
"Age", "Financial_level"
"Sex", "CCI"
"Sex", "Obesity"
"Sex", "Sleep disturbance"
"Sex", "PEG"
"Sex", "Smoking"
"Sex", "Anxiety"
"Sex", "Depression"
"Sex", "Catastrophizing"
"Sex", "Fear_avoidance"
"Sex", "Financial_level"
"Sex", "Education"
