p,rep,n_flipped,proto_f1,Mistral KG-RAG Plausibility,Mistral RAG Association,Mistral RAG Temporality,Mistral LLM Plausibility
0.02,1,6,0.3958333333333333,0.6842105263157895,0.676056338028169,0.5309734513274337,0.6363636363636364
0.02,2,0,0.3958333333333333,0.6973684210526315,0.676056338028169,0.5309734513274337,0.6233766233766234
0.02,3,0,0.3958333333333333,0.6973684210526315,0.676056338028169,0.5309734513274337,0.6233766233766234
0.02,4,2,0.3958333333333333,0.6842105263157895,0.676056338028169,0.5309734513274337,0.6103896103896104
0.02,5,5,0.3917525773195876,0.6928104575163399,0.6853146853146853,0.5087719298245614,0.6451612903225806
0.02,6,1,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.6193548387096774
0.02,7,6,0.3958333333333333,0.6842105263157895,0.676056338028169,0.5486725663716814,0.6103896103896104
0.02,8,1,0.37894736842105264,0.7019867549668874,0.6808510638297872,0.5357142857142857,0.6274509803921569
0.02,9,1,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.632258064516129
0.02,10,2,0.3958333333333333,0.6842105263157895,0.676056338028169,0.5132743362831859,0.6233766233766234
0.02,11,3,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.543859649122807,0.6193548387096774
0.02,12,3,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5087719298245614,0.6193548387096774
0.02,13,1,0.3917525773195876,0.6928104575163399,0.6853146853146853,0.5263157894736842,0.632258064516129
0.02,14,3,0.4,0.7019867549668874,0.6666666666666666,0.5,0.6013071895424836
0.02,15,2,0.3958333333333333,0.6842105263157895,0.676056338028169,0.5132743362831859,0.6233766233766234
0.02,16,3,0.3917525773195876,0.6797385620915033,0.6573426573426573,0.5263157894736842,0.6064516129032258
0.02,17,3,0.42105263157894735,0.7019867549668874,0.6524822695035462,0.5357142857142857,0.6274509803921569
0.02,18,2,0.3958333333333333,0.6973684210526315,0.676056338028169,0.5309734513274337,0.6233766233766234
0.02,19,7,0.40404040404040403,0.7354838709677419,0.6896551724137931,0.5689655172413793,0.6624203821656051
0.02,20,4,0.40816326530612246,0.7012987012987013,0.6666666666666666,0.5391304347826087,0.6153846153846154
0.02,21,2,0.40425531914893614,0.68,0.6571428571428571,0.5405405405405406,0.6052631578947368
0.02,22,3,0.3917525773195876,0.6797385620915033,0.6713286713286714,0.5087719298245614,0.6064516129032258
0.02,23,1,0.4,0.6887417218543046,0.6666666666666666,0.5178571428571429,0.6143790849673203
0.02,24,3,0.37894736842105264,0.6754966887417219,0.6524822695035462,0.5178571428571429,0.6143790849673203
0.02,25,5,0.3838383838383838,0.6967741935483871,0.6758620689655173,0.5172413793103449,0.6369426751592356
0.02,26,1,0.4,0.6887417218543046,0.6666666666666666,0.5357142857142857,0.6274509803921569
0.02,27,2,0.3958333333333333,0.6973684210526315,0.676056338028169,0.5309734513274337,0.6233766233766234
0.02,28,1,0.3917525773195876,0.7058823529411765,0.6853146853146853,0.5263157894736842,0.632258064516129
0.02,29,4,0.3958333333333333,0.6973684210526315,0.6619718309859155,0.5663716814159292,0.6233766233766234
0.02,30,3,0.41237113402061853,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.6193548387096774
0.02,31,3,0.3917525773195876,0.6797385620915033,0.6713286713286714,0.5263157894736842,0.632258064516129
0.02,32,2,0.3958333333333333,0.6973684210526315,0.6619718309859155,0.5132743362831859,0.6103896103896104
0.02,33,3,0.4,0.6754966887417219,0.6666666666666666,0.5178571428571429,0.6013071895424836
0.02,34,3,0.3711340206185567,0.7058823529411765,0.6853146853146853,0.5087719298245614,0.632258064516129
0.02,35,3,0.40860215053763443,0.697986577181208,0.6618705035971223,0.5272727272727272,0.6225165562913907
0.02,36,3,0.3838383838383838,0.6838709677419355,0.6758620689655173,0.5172413793103449,0.6242038216560509
0.02,37,1,0.3917525773195876,0.6928104575163399,0.6853146853146853,0.5263157894736842,0.6193548387096774
0.02,38,2,0.3617021276595745,0.68,0.6571428571428571,0.5045045045045045,0.6052631578947368
0.02,39,2,0.3877551020408163,0.7012987012987013,0.6666666666666666,0.5217391304347826,0.6282051282051282
0.02,40,5,0.3917525773195876,0.6797385620915033,0.6713286713286714,0.5263157894736842,0.6193548387096774
0.02,41,3,0.3711340206185567,0.6797385620915033,0.6573426573426573,0.5087719298245614,0.6064516129032258
0.02,42,6,0.42,0.7051282051282052,0.684931506849315,0.5299145299145299,0.6329113924050633
0.02,43,1,0.4,0.6887417218543046,0.6666666666666666,0.5357142857142857,0.6143790849673203
0.02,44,3,0.40860215053763443,0.6845637583892618,0.6762589928057554,0.5272727272727272,0.5960264900662252
0.02,45,2,0.375,0.7105263157894737,0.6619718309859155,0.5309734513274337,0.6363636363636364
0.02,46,2,0.3877551020408163,0.7012987012987013,0.6805555555555556,0.5217391304347826,0.6282051282051282
0.02,47,3,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.6451612903225806
0.02,48,4,0.425531914893617,0.6666666666666666,0.6428571428571429,0.5405405405405406,0.6052631578947368
0.02,49,1,0.41237113402061853,0.7058823529411765,0.6853146853146853,0.543859649122807,0.632258064516129
0.02,50,3,0.4,0.7152317880794702,0.6808510638297872,0.5357142857142857,0.6405228758169934
0.02,51,1,0.41237113402061853,0.7058823529411765,0.6713286713286714,0.543859649122807,0.632258064516129
0.02,52,4,0.38,0.6923076923076923,0.684931506849315,0.5128205128205128,0.6329113924050633
0.02,53,2,0.3877551020408163,0.7012987012987013,0.6805555555555556,0.5391304347826087,0.6153846153846154
0.02,54,3,0.40404040404040403,0.6967741935483871,0.6758620689655173,0.5344827586206896,0.6114649681528662
0.02,55,1,0.4,0.6887417218543046,0.6666666666666666,0.5357142857142857,0.6143790849673203
0.02,56,2,0.375,0.6842105263157895,0.6619718309859155,0.5132743362831859,0.6103896103896104
0.02,57,3,0.4,0.6887417218543046,0.6524822695035462,0.5178571428571429,0.6274509803921569
0.02,58,3,0.41237113402061853,0.7058823529411765,0.6853146853146853,0.543859649122807,0.632258064516129
0.02,59,2,0.40425531914893614,0.68,0.6714285714285714,0.5405405405405406,0.618421052631579
0.02,60,4,0.375,0.6973684210526315,0.6619718309859155,0.5132743362831859,0.6103896103896104
0.02,61,1,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.632258064516129
0.02,62,4,0.3958333333333333,0.6973684210526315,0.6619718309859155,0.5309734513274337,0.5974025974025974
0.02,63,4,0.3958333333333333,0.6710526315789473,0.6619718309859155,0.5132743362831859,0.6233766233766234
0.02,64,3,0.3917525773195876,0.6797385620915033,0.6853146853146853,0.5263157894736842,0.632258064516129
0.02,65,0,0.3958333333333333,0.6973684210526315,0.676056338028169,0.5309734513274337,0.6233766233766234
0.02,66,4,0.3617021276595745,0.6666666666666666,0.6571428571428571,0.5045045045045045,0.6052631578947368
0.02,67,4,0.375,0.6842105263157895,0.676056338028169,0.5132743362831859,0.6233766233766234
0.02,68,2,0.4166666666666667,0.6842105263157895,0.676056338028169,0.5309734513274337,0.6103896103896104
0.02,69,2,0.3958333333333333,0.6973684210526315,0.676056338028169,0.5309734513274337,0.6233766233766234
0.02,70,4,0.40425531914893614,0.6666666666666666,0.6714285714285714,0.5225225225225225,0.618421052631579
0.02,71,4,0.40425531914893614,0.68,0.6571428571428571,0.5585585585585585,0.6052631578947368
0.02,72,2,0.40425531914893614,0.68,0.6571428571428571,0.5405405405405406,0.6052631578947368
0.02,73,2,0.3958333333333333,0.6842105263157895,0.6901408450704225,0.5309734513274337,0.6103896103896104
0.02,74,2,0.375,0.6842105263157895,0.6619718309859155,0.5132743362831859,0.6103896103896104
0.02,75,2,0.40816326530612246,0.7142857142857143,0.6666666666666666,0.5391304347826087,0.6282051282051282
0.02,76,5,0.37362637362637363,0.6530612244897959,0.656934306569343,0.5,0.5771812080536913
0.02,77,2,0.3958333333333333,0.6973684210526315,0.6619718309859155,0.5309734513274337,0.6103896103896104
0.02,78,4,0.4,0.717948717948718,0.684931506849315,0.5470085470085471,0.6329113924050633
0.02,79,4,0.3829787234042553,0.6933333333333334,0.6428571428571429,0.5045045045045045,0.6052631578947368
0.02,80,4,0.3958333333333333,0.6710526315789473,0.6619718309859155,0.5309734513274337,0.6233766233766234
0.02,81,2,0.40425531914893614,0.68,0.6714285714285714,0.5405405405405406,0.6052631578947368
0.02,82,4,0.3877551020408163,0.7012987012987013,0.6527777777777778,0.5217391304347826,0.6410256410256411
0.02,83,3,0.40860215053763443,0.697986577181208,0.6762589928057554,0.5454545454545454,0.609271523178808
0.02,84,3,0.3917525773195876,0.6928104575163399,0.6853146853146853,0.5263157894736842,0.632258064516129
0.02,85,4,0.3617021276595745,0.6666666666666666,0.6571428571428571,0.5045045045045045,0.618421052631579
0.02,86,1,0.3917525773195876,0.6928104575163399,0.6853146853146853,0.5263157894736842,0.6193548387096774
0.02,87,4,0.375,0.6710526315789473,0.6619718309859155,0.49557522123893805,0.6233766233766234
0.02,88,4,0.3829787234042553,0.6666666666666666,0.6714285714285714,0.5225225225225225,0.5921052631578947
0.02,89,3,0.3711340206185567,0.7058823529411765,0.6853146853146853,0.5263157894736842,0.6193548387096774
0.02,90,4,0.375,0.6973684210526315,0.647887323943662,0.5132743362831859,0.6233766233766234
0.02,91,3,0.3711340206185567,0.6928104575163399,0.6573426573426573,0.5263157894736842,0.6193548387096774
0.02,92,2,0.3958333333333333,0.6842105263157895,0.6619718309859155,0.5309734513274337,0.6103896103896104
0.02,93,4,0.4,0.7051282051282052,0.6712328767123288,0.5299145299145299,0.6329113924050633
0.02,94,5,0.35051546391752575,0.6928104575163399,0.6573426573426573,0.49122807017543857,0.6193548387096774
0.02,95,3,0.37894736842105264,0.6754966887417219,0.6524822695035462,0.5178571428571429,0.6013071895424836
0.02,96,4,0.40425531914893614,0.6666666666666666,0.6571428571428571,0.5405405405405406,0.6052631578947368
0.02,97,2,0.40816326530612246,0.7012987012987013,0.6805555555555556,0.5391304347826087,0.6410256410256411
0.02,98,1,0.4,0.6887417218543046,0.6666666666666666,0.5178571428571429,0.6274509803921569
0.02,99,1,0.37894736842105264,0.6887417218543046,0.6666666666666666,0.5178571428571429,0.6143790849673203
0.02,100,3,0.40404040404040403,0.6967741935483871,0.6896551724137931,0.5344827586206896,0.6496815286624203
0.02,101,1,0.4,0.7019867549668874,0.6808510638297872,0.5357142857142857,0.6274509803921569
0.02,102,6,0.3829787234042553,0.68,0.6571428571428571,0.5045045045045045,0.5921052631578947
0.02,103,3,0.3838383838383838,0.7096774193548387,0.6896551724137931,0.5172413793103449,0.6369426751592356
0.02,104,5,0.3711340206185567,0.6797385620915033,0.6433566433566433,0.5087719298245614,0.6064516129032258
0.02,105,5,0.3917525773195876,0.6797385620915033,0.6853146853146853,0.5263157894736842,0.6064516129032258
0.02,106,2,0.40425531914893614,0.6933333333333334,0.6714285714285714,0.5225225225225225,0.6052631578947368
0.02,107,4,0.4,0.6923076923076923,0.684931506849315,0.5299145299145299,0.6329113924050633
0.02,108,4,0.4166666666666667,0.7105263157894737,0.6619718309859155,0.5309734513274337,0.6233766233766234
0.02,109,3,0.37894736842105264,0.6754966887417219,0.6524822695035462,0.5178571428571429,0.6143790849673203
0.02,110,3,0.3655913978494624,0.6711409395973155,0.6474820143884892,0.509090909090909,0.5960264900662252
0.02,111,0,0.3958333333333333,0.6973684210526315,0.676056338028169,0.5309734513274337,0.6233766233766234
0.02,112,1,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.6193548387096774
0.02,113,5,0.3838383838383838,0.6967741935483871,0.6758620689655173,0.5172413793103449,0.6369426751592356
0.02,114,1,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.6193548387096774
0.02,115,2,0.3958333333333333,0.6842105263157895,0.6901408450704225,0.5309734513274337,0.6233766233766234
0.02,116,1,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.632258064516129
0.02,117,6,0.40425531914893614,0.6533333333333333,0.6428571428571429,0.5405405405405406,0.6052631578947368
0.02,118,3,0.37894736842105264,0.6887417218543046,0.6666666666666666,0.5178571428571429,0.6143790849673203
0.02,119,1,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.632258064516129
0.02,120,3,0.4,0.6887417218543046,0.6808510638297872,0.5357142857142857,0.6143790849673203
0.02,121,1,0.4,0.6887417218543046,0.6666666666666666,0.5178571428571429,0.6274509803921569
0.02,122,3,0.3711340206185567,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.6193548387096774
0.02,123,4,0.3541666666666667,0.6710526315789473,0.6619718309859155,0.49557522123893805,0.5974025974025974
0.02,124,5,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5087719298245614,0.632258064516129
0.02,125,4,0.3829787234042553,0.6666666666666666,0.6714285714285714,0.5225225225225225,0.5921052631578947
0.02,126,2,0.3958333333333333,0.6973684210526315,0.676056338028169,0.5309734513274337,0.6233766233766234
0.02,127,1,0.3917525773195876,0.7058823529411765,0.6713286713286714,0.5263157894736842,0.6193548387096774
0.02,128,1,0.37894736842105264,0.6887417218543046,0.6666666666666666,0.5178571428571429,0.6143790849673203
0.02,129,3,0.41237113402061853,0.6928104575163399,0.6573426573426573,0.543859649122807,0.6193548387096774
0.02,130,3,0.4,0.6754966887417219,0.6524822695035462,0.5,0.6143790849673203
0.02,131,4,0.38,0.7051282051282052,0.6712328767123288,0.5128205128205128,0.6329113924050633
0.02,132,1,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.6193548387096774
0.02,133,3,0.3711340206185567,0.6797385620915033,0.6573426573426573,0.5087719298245614,0.6193548387096774
0.02,134,2,0.4166666666666667,0.7105263157894737,0.6619718309859155,0.5132743362831859,0.6103896103896104
0.02,135,1,0.3917525773195876,0.6928104575163399,0.6713286713286714,0.5263157894736842,0.6193548387096774
0.02,136,4,0.3877551020408163,0.7142857142857143,0.6805555555555556,0.5391304347826087,0.6410256410256411
0.02,137,2,0.40425531914893614,0.68,0.6571428571428571,0.5225225225225225,0.618421052631579
0.02,138,2,0.375,0.6973684210526315,0.6619718309859155,0.5132743362831859,0.6233766233766234
0.02,139,3,0.37894736842105264,0.6887417218543046,0.6666666666666666,0.5178571428571429,0.6274509803921569
0.02,140,2,0.3958333333333333,0.6842105263157895,0.6901408450704225,0.5309734513274337,0.6233766233766234
0.02,141,3,0.3838383838383838,0.6838709677419355,0.6758620689655173,0.5172413793103449,0.6242038216560509
0.02,142,4,0.38,0.6923076923076923,0.6712328767123288,0.5299145299145299,0.6329113924050633
0.02,143,5,0.36363636363636365,0.6838709677419355,0.6620689655172414,0.5172413793103449,0.6496815286624203
0.02,144,0,0.3958333333333333,0.6973684210526315,0.676056338028169,0.5309734513274337,0.6233766233766234
0.02,145,3,0.3838383838383838,0.7096774193548387,0.6896551724137931,0.5344827586206896,0.6369426751592356
0.02,146,4,0.4166666666666667,0.6842105263157895,0.6619718309859155,0.5309734513274337,0.5974025974025974
0.02,147,3,0.40404040404040403,0.7096774193548387,0.6758620689655173,0.5344827586206896,0.6369426751592356
0.02,148,2,0.3958333333333333,0.6973684210526315,0.676056338028169,0.5309734513274337,0.6233766233766234
0.02,149,3,0.37894736842105264,0.6754966887417219,0.6666666666666666,0.5178571428571429,0.6013071895424836
0.02,150,3,0.3870967741935484,0.6711409395973155,0.6474820143884892,0.4909090909090909,0.5960264900662252
0.02,151,3,0.41237113402061853,0.7058823529411765,0.6713286713286714,0.543859649122807,0.6193548387096774
0.02,152,2,0.3617021276595745,0.68,0.6571428571428571,0.5045045045045045,0.6052631578947368
0.02,153,3,0.3917525773195876,0.6797385620915033,0.6853146853146853,0.5087719298245614,0.6193548387096774
0.02,154,3,0.3917525773195876,0.6928104575163399,0.6853146853146853,0.5263157894736842,0.6064516129032258
0.02,155,3,0.35789473684210527,0.6887417218543046,0.6524822695035462,0.5,0.6013071895424836
0.02,156,4,0.3673469387755102,0.7142857142857143,0.6805555555555556,0.5217391304347826,0.6410256410256411
0.02,157,1,0.3917525773195876,0.7058823529411765,0.6853146853146853,0.543859649122807,0.6193548387096774
