System,Metric,TPR,FDR,F1,HD,SHD
LLM,Plausibility,0.984375,0.5594405594405595,0.6086956521739131,27,58
LLM,Association,0.96875,0.5539568345323741,0.6108374384236454,27,58
LLM,Temporality,0.625,0.5402298850574713,0.5298013245033113,39,61
LLM,Direct Causal,0.515625,0.6024096385542169,0.4489795918367347,46,65
RAG,Plausibility,0.921875,0.528,0.6243386243386243,27,56
RAG,Association,0.609375,0.5063291139240507,0.5454545454545454,32,58
RAG,Temporality,0.3125,0.23076923076923078,0.4444444444444444,41,46
RAG,Direct Causal,0.546875,0.527027027027027,0.5072463768115942,44,56
KG-RAG,Plausibility,0.921875,0.556390977443609,0.5989847715736041,28,56
KG-RAG,Association,0.5,0.5949367088607594,0.44755244755244755,46,65
KG-RAG,Temporality,0.09375,0.5714285714285714,0.15384615384615385,58,63
KG-RAG,Direct Causal,0.421875,0.64,0.38848920863309355,43,65
