System,Metric,TPR,FDR,F1,Delta_F1_P,Delta_F1_KS,HD,SHD
LLM,Plausibility,0.796875,0.42696629213483145,0.6666666666666666,0.2708333333333333,0,27,39
LLM,Association,0.8125,0.4090909090909091,0.6842105263157895,0.2883771929824562,0.021958870686650367,26,37
LLM,Temporality,0.578125,0.4931506849315068,0.5401459854014599,0.14431265206812655,0.013014202455723378,35,49
LLM,Direct Causal,0.59375,0.5064935064935064,0.5390070921985816,0.14317375886524825,0.09002750036184687,35,50
RAG,Plausibility,0.875,0.3488372093023256,0.7466666666666667,0.3508333333333334,0.029425287356321883,26,32
RAG,Association,0.703125,0.296875,0.703125,0.3072916666666667,0.13415948275862066,26,32
RAG,Temporality,0.53125,0.2916666666666667,0.6071428571428571,0.21130952380952378,0.18017656500802565,30,37
RAG,Direct Causal,0.6875,0.38028169014084506,0.6518518518518519,0.2560185185185186,0.14460547504025767,33,40
KG-RAG,Plausibility,0.71875,0.47126436781609193,0.609271523178808,0.21343818984547464,0.009271523178807972,27,43
KG-RAG,Association,0.515625,0.5147058823529411,0.5,0.10416666666666669,0.09999999999999998,40,53
KG-RAG,Temporality,0.3125,0.4594594594594595,0.39603960396039606,2.0627062706274346e-4,0.26446065659197504,43,52
KG-RAG,Direct Causal,0.546875,0.4927536231884058,0.5263157894736842,0.13048245614035087,0.13782658084059063,35,49
