model,system,query,tpr,fdr,f1,hd,shd,n_edges
llama,LLM,Plausibility,0.984375,0.5594405594405595,0.6086956521739131,27,58,143
llama,LLM,Association,0.96875,0.5539568345323741,0.6108374384236454,27,58,139
llama,LLM,Temporality,0.625,0.5402298850574713,0.5298013245033113,39,61,87
llama,RAG,Plausibility,0.921875,0.528,0.6243386243386243,27,56,125
llama,RAG,Association,0.609375,0.5063291139240507,0.5454545454545454,32,58,79
llama,RAG,Temporality,0.3125,0.23076923076923078,0.4444444444444444,41,46,26
llama,KG-RAG,Plausibility,0.921875,0.556390977443609,0.5989847715736041,28,56,133
llama,KG-RAG,Association,0.5,0.5949367088607594,0.44755244755244755,46,65,79
llama,KG-RAG,Temporality,0.09375,0.5714285714285714,0.15384615384615385,58,63,14
mistral,LLM,Plausibility,1,0.5328467153284672,0.6368159203980099,26,58,137
mistral,LLM,Association,0.53125,0.5641025641025641,0.4788732394366197,39,63,78
mistral,LLM,Temporality,0.078125,0.5454545454545454,0.13333333333333333,57,61,11
mistral,RAG,Plausibility,0.953125,0.5307692307692308,0.6288659793814433,25,54,130
mistral,RAG,Association,0.703125,0.5360824742268041,0.5590062111801242,35,60,97
mistral,RAG,Temporality,0.296875,0.3870967741935484,0.4,49,56,31
mistral,KG-RAG,Plausibility,0.96875,0.5373134328358209,0.6262626262626263,28,57,134
mistral,KG-RAG,Association,0.453125,0.5606060606060606,0.4461538461538462,44,65,66
mistral,KG-RAG,Temporality,0.15625,0.4117647058823529,0.24691358024691357,52,57,17
