model,system,query,tpr,fdr,f1,hd,shd,n_edges
llama,LLM,Plausibility,0.796875,0.42696629213483145,0.6666666666666666,27,39,89
llama,LLM,Association,0.78125,0.42528735632183906,0.6622516556291391,27,39,87
llama,LLM,Temporality,0.53125,0.47692307692307695,0.5271317829457365,39,50,65
llama,RAG,Plausibility,0.8125,0.35802469135802467,0.7172413793103448,27,34,81
llama,RAG,Association,0.515625,0.36538461538461536,0.5689655172413793,32,41,52
llama,RAG,Temporality,0.296875,0.24,0.42696629213483145,41,46,25
llama,KG-RAG,Plausibility,0.703125,0.47674418604651164,0.6,28,44,86
llama,KG-RAG,Association,0.375,0.5714285714285714,0.4,46,59,56
llama,KG-RAG,Temporality,0.078125,0.5833333333333334,0.13157894736842105,58,62,12
mistral,LLM,Plausibility,0.78125,0.4444444444444444,0.6493506493506493,26,40,90
mistral,LLM,Association,0.40625,0.46938775510204084,0.46017699115044247,39,50,49
mistral,LLM,Temporality,0.078125,0.5454545454545454,0.13333333333333333,57,61,11
mistral,RAG,Plausibility,0.8125,0.40229885057471265,0.6887417218543046,25,36,87
mistral,RAG,Association,0.625,0.40298507462686567,0.6106870229007634,35,43,67
mistral,RAG,Temporality,0.25,0.36,0.3595505617977528,49,53,25
mistral,KG-RAG,Plausibility,0.828125,0.3977272727272727,0.6973684210526315,28,37,88
mistral,KG-RAG,Association,0.34375,0.5217391304347826,0.4,44,55,46
mistral,KG-RAG,Temporality,0.140625,0.4375,0.225,52,57,16
