model,system,query,tpr,fdr,f1,delta_f1_p,delta_f1_ks,hd,shd,n_edges
llama,LLM,Plausibility,0.796875,0.42696629213483145,0.6666666666666666,0.2708333333333333,0,27,39,89
llama,LLM,Association,0.8125,0.4090909090909091,0.6842105263157895,0.2883771929824562,0.021958870686650367,26,37,88
llama,LLM,Temporality,0.578125,0.4931506849315068,0.5401459854014599,0.14431265206812655,0.013014202455723378,35,49,73
llama,RAG,Plausibility,0.875,0.3488372093023256,0.7466666666666667,0.3508333333333334,0.029425287356321883,26,32,86
llama,RAG,Association,0.703125,0.296875,0.703125,0.3072916666666667,0.13415948275862066,26,32,64
llama,RAG,Temporality,0.53125,0.2916666666666667,0.6071428571428571,0.21130952380952378,0.18017656500802565,30,37,48
llama,KG-RAG,Plausibility,0.71875,0.47126436781609193,0.609271523178808,0.21343818984547464,0.009271523178807972,27,43,87
llama,KG-RAG,Association,0.515625,0.5147058823529411,0.5,0.10416666666666669,0.09999999999999998,40,53,68
llama,KG-RAG,Temporality,0.3125,0.4594594594594595,0.39603960396039606,2.0627062706274346e-4,0.26446065659197504,43,52,37
mistral,LLM,Plausibility,0.75,0.4666666666666667,0.6233766233766234,0.22754329004329005,-0.025974025974025983,26,42,90
mistral,LLM,Association,0.546875,0.4444444444444444,0.5511811023622047,0.15534776902887143,0.09100411121176227,31,44,63
mistral,LLM,Temporality,0.328125,0.4166666666666667,0.42,0.02416666666666667,0.2866666666666666,42,50,36
mistral,RAG,Plausibility,0.78125,0.42528735632183906,0.6622516556291391,0.2664183222958058,-0.026490066225165476,25,38,87
mistral,RAG,Association,0.75,0.38461538461538464,0.676056338028169,0.2802230046948357,0.065369315127405625,28,37,78
mistral,RAG,Temporality,0.46875,0.3877551020408163,0.5309734513274337,0.13514011799410036,0.17142288952968088,35,44,49
mistral,KG-RAG,Plausibility,0.828125,0.3977272727272727,0.6973684210526315,0.3015350877192982,0,28,37,88
mistral,KG-RAG,Association,0.546875,0.43548387096774194,0.5555555555555556,0.15972222222222227,0.15555555555555556,32,44,62
mistral,KG-RAG,Temporality,0.40625,0.36585365853658536,0.49523809523809526,0.09940476190476194,0.2702380952380953,37,45,41
