model,system,query,f1,tpr,fdr,hd,shd,n_edges
llama,llm,Plausibility,0.6666666666666666,0.796875,0.42696629213483145,27,39,89
llama,llm,Association,0.6842105263157895,0.8125,0.4090909090909091,26,37,88
llama,llm,Temporality,0.5401459854014599,0.578125,0.4931506849315068,35,49,73
llama,rag,Plausibility,0.7466666666666667,0.875,0.3488372093023256,26,32,86
llama,rag,Association,0.703125,0.703125,0.296875,26,32,64
llama,rag,Temporality,0.6071428571428571,0.53125,0.2916666666666667,30,37,48
llama,kgrag,Plausibility,0.609271523178808,0.71875,0.47126436781609193,27,43,87
llama,kgrag,Association,0.5,0.515625,0.5147058823529411,40,53,68
llama,kgrag,Temporality,0.39603960396039606,0.3125,0.4594594594594595,43,52,37
mistral,llm,Plausibility,0.6233766233766234,0.75,0.4666666666666667,26,42,90
mistral,llm,Association,0.5511811023622047,0.546875,0.4444444444444444,31,44,63
mistral,llm,Temporality,0.42,0.328125,0.4166666666666667,42,50,36
mistral,rag,Plausibility,0.6622516556291391,0.78125,0.42528735632183906,25,38,87
mistral,rag,Association,0.676056338028169,0.75,0.38461538461538464,28,37,78
mistral,rag,Temporality,0.5309734513274337,0.46875,0.3877551020408163,35,44,49
mistral,kgrag,Plausibility,0.6973684210526315,0.828125,0.3977272727272727,28,37,88
mistral,kgrag,Association,0.5555555555555556,0.546875,0.43548387096774194,32,44,62
mistral,kgrag,Temporality,0.49523809523809526,0.40625,0.36585365853658536,37,45,41
