System,Metric,TPR,FDR,F1,HD,SHD
LLM,Plausibility,1,0.5328467153284672,0.6368159203980099,26,58
LLM,Association,0.53125,0.5641025641025641,0.4788732394366197,39,63
LLM,Temporality,0.078125,0.5454545454545454,0.13333333333333333,57,61
LLM,Direct Causal,0.1875,0.6,0.2553191489361702,50,60
RAG,Plausibility,0.953125,0.5307692307692308,0.6288659793814433,25,54
RAG,Association,0.703125,0.5360824742268041,0.5590062111801242,35,60
RAG,Temporality,0.296875,0.3870967741935484,0.4,49,56
RAG,Direct Causal,0.328125,0.4473684210526316,0.4117647058823529,48,54
KG-RAG,Plausibility,0.96875,0.5373134328358209,0.6262626262626263,28,57
KG-RAG,Association,0.453125,0.5606060606060606,0.4461538461538462,44,65
KG-RAG,Temporality,0.15625,0.4117647058823529,0.24691358024691357,52,57
KG-RAG,Direct Causal,0.171875,0.5217391304347826,0.25287356321839083,54,59
