System,Metric,TPR,FDR,F1,Delta_F1_P,Delta_F1_KS,HD,SHD
LLM,Plausibility,0.75,0.4666666666666667,0.6233766233766234,0.22754329004329005,-0.025974025974025983,26,42
LLM,Association,0.546875,0.4444444444444444,0.5511811023622047,0.15534776902887143,0.09100411121176227,31,44
LLM,Temporality,0.328125,0.4166666666666667,0.42,0.02416666666666667,0.2866666666666666,42,50
LLM,Direct Causal,0.40625,0.48,0.45614035087719296,0.06030701754385964,0.20082120194102276,38,50
RAG,Plausibility,0.78125,0.42528735632183906,0.6622516556291391,0.2664183222958058,-0.026490066225165476,25,38
RAG,Association,0.75,0.38461538461538464,0.676056338028169,0.2802230046948357,0.065369315127405625,28,37
RAG,Temporality,0.46875,0.3877551020408163,0.5309734513274337,0.13514011799410036,0.17142288952968088,35,44
RAG,Direct Causal,0.546875,0.36363636363636365,0.5882352941176471,0.19240196078431376,0.17647058823529416,37,43
KG-RAG,Plausibility,0.828125,0.3977272727272727,0.6973684210526315,0.3015350877192982,0,28,37
KG-RAG,Association,0.546875,0.43548387096774194,0.5555555555555556,0.15972222222222227,0.15555555555555556,32,44
KG-RAG,Temporality,0.40625,0.36585365853658536,0.49523809523809526,0.09940476190476194,0.2702380952380953,37,45
KG-RAG,Direct Causal,0.390625,0.40476190476190477,0.4716981132075472,0.07586477987421386,0.21882454998915635,40,48
